Date : 2021-09-15 01:36:55
Directory : d:\iTechArtFinalProject
Total : 88 files,  27193 codes, 30 comments, 181 blanks, all 27404 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          4 |     24,797 |          0 |          2 |     24,799 |
| JavaScript React |         30 |        978 |         30 |         90 |      1,098 |
| SCSS             |         30 |        894 |          0 |         35 |        929 |
| JavaScript       |         23 |        509 |          0 |         51 |        560 |
| HTML             |          1 |         15 |          0 |          3 |         18 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         88 |     27,193 |         30 |        181 |     27,404 |
| src                                                                                                 |         80 |      2,270 |         30 |        174 |      2,474 |
| src\app                                                                                             |         72 |      2,028 |         30 |        155 |      2,213 |
| src\app\components                                                                                  |         52 |      1,588 |         30 |        105 |      1,723 |
| src\app\components\auth                                                                             |          9 |        303 |          0 |         31 |        334 |
| src\app\components\auth\authForm                                                                    |          2 |        154 |          0 |         14 |        168 |
| src\app\components\auth\authSectionMessage                                                          |          2 |         31 |          0 |          2 |         33 |
| src\app\components\auth\changepasswordForm                                                          |          1 |         92 |          0 |         10 |        102 |
| src\app\components\auth\logInSection                                                                |          2 |         13 |          0 |          3 |         16 |
| src\app\components\auth\signUpSection                                                               |          2 |         13 |          0 |          2 |         15 |
| src\app\components\headerAndFooter                                                                  |          4 |        167 |          0 |         15 |        182 |
| src\app\components\headerAndFooter\footer                                                           |          2 |         68 |          0 |          4 |         72 |
| src\app\components\headerAndFooter\header                                                           |          2 |         99 |          0 |         11 |        110 |
| src\app\components\lists                                                                            |          1 |         13 |          0 |          2 |         15 |
| src\app\components\mainPage                                                                         |         13 |        250 |          0 |         19 |        269 |
| src\app\components\mainPage\banner                                                                  |          2 |         50 |          0 |          5 |         55 |
| src\app\components\mainPage\cookBook                                                                |          2 |         51 |          0 |          2 |         53 |
| src\app\components\mainPage\mainSection                                                             |          2 |         21 |          0 |          2 |         23 |
| src\app\components\mainPage\pickedArticles                                                          |          2 |         72 |          0 |          3 |         75 |
| src\app\components\mainPage\popularCookBooks                                                        |          2 |         17 |          0 |          3 |         20 |
| src\app\components\mainPage\trendingRecepies                                                        |          2 |         18 |          0 |          2 |         20 |
| src\app\components\profile                                                                          |         10 |        255 |         13 |         16 |        284 |
| src\app\components\profile\profileInfo                                                              |          6 |        155 |         13 |         10 |        178 |
| src\app\components\profile\profileInfo\profileActions                                               |          2 |         78 |          0 |          4 |         82 |
| src\app\components\profile\profileInfo\profileDescr                                                 |          2 |         45 |          0 |          4 |         49 |
| src\app\components\profile\profileMenu                                                              |          2 |         81 |          0 |          3 |         84 |
| src\app\components\recepies                                                                         |          9 |        510 |         17 |         14 |        541 |
| src\app\components\recepies\recepieShort                                                            |          2 |         85 |          0 |          2 |         87 |
| src\app\components\recepies\recipeCreation                                                          |          2 |        315 |          3 |          3 |        321 |
| src\app\components\recepies\recipeLikeBtn                                                           |          3 |         75 |          2 |          5 |         82 |
| src\app\components\search                                                                           |          6 |         90 |          0 |          8 |         98 |
| src\app\components\search\cooksBookSearch                                                           |          2 |         17 |          0 |          2 |         19 |
| src\app\components\search\recepiesSearch                                                            |          2 |         17 |          0 |          2 |         19 |
| src\app\redux                                                                                       |          8 |        195 |          0 |         29 |        224 |
| src\app\redux\booksSlice                                                                            |          1 |         27 |          0 |          3 |         30 |
| src\app\redux\recepiesSlice                                                                         |          1 |         36 |          0 |          3 |         39 |
| src\app\redux\reduxSaga                                                                             |          4 |         88 |          0 |         15 |        103 |
| src\app\redux\reduxSaga\booksSaga                                                                   |          1 |         10 |          0 |          3 |         13 |
| src\app\redux\reduxSaga\recepiesSaga                                                                |          1 |         34 |          0 |          4 |         38 |
| src\app\redux\reduxSaga\usersSaga                                                                   |          1 |         37 |          0 |          6 |         43 |
| src\app\redux\userSlice                                                                             |          1 |         27 |          0 |          3 |         30 |
| src\app\services                                                                                    |          9 |        151 |          0 |          9 |        160 |
| src\app\services\recepies                                                                           |          5 |         65 |          0 |          3 |         68 |
| src\app\services\users                                                                              |          3 |         78 |          0 |          5 |         83 |
| src\app\validations                                                                                 |          2 |         37 |          0 |          8 |         45 |
| src\styles                                                                                          |          6 |        215 |          0 |         14 |        229 |
| src\styles\common                                                                                   |          1 |          8 |          0 |          0 |          8 |
| src\styles\vars                                                                                     |          3 |         45 |          0 |          3 |         48 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                            | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\iTechArtFinalProject\.eslintrc.js                                                                | JavaScript       |         17 |          0 |          1 |         18 |
| d:\iTechArtFinalProject\.prettierrc                                                                 | JSON             |         11 |          0 |          0 |         11 |
| d:\iTechArtFinalProject\db.json                                                                     | JSON             |        253 |          0 |          0 |        253 |
| d:\iTechArtFinalProject\package-lock.json                                                           | JSON             |     24,450 |          0 |          1 |     24,451 |
| d:\iTechArtFinalProject\package.json                                                                | JSON             |         83 |          0 |          1 |         84 |
| d:\iTechArtFinalProject\src\app\app.jsx                                                             | JavaScript React |         57 |          0 |          4 |         61 |
| d:\iTechArtFinalProject\src\app\components\auth\authForm\authForm.jsx                               | JavaScript React |         91 |          0 |         10 |        101 |
| d:\iTechArtFinalProject\src\app\components\auth\authForm\authForm.scss                              | SCSS             |         63 |          0 |          4 |         67 |
| d:\iTechArtFinalProject\src\app\components\auth\authSectionMessage\authSectionMessage.jsx           | JavaScript React |         18 |          0 |          2 |         20 |
| d:\iTechArtFinalProject\src\app\components\auth\authSectionMessage\authSectionMessage.scss          | SCSS             |         13 |          0 |          0 |         13 |
| d:\iTechArtFinalProject\src\app\components\auth\changepasswordForm\changePassword.jsx               | JavaScript React |         92 |          0 |         10 |        102 |
| d:\iTechArtFinalProject\src\app\components\auth\logInSection\logIn.jsx                              | JavaScript React |         10 |          0 |          3 |         13 |
| d:\iTechArtFinalProject\src\app\components\auth\logInSection\logIn.scss                             | SCSS             |          3 |          0 |          0 |          3 |
| d:\iTechArtFinalProject\src\app\components\auth\signUpSection\signUp.jsx                            | JavaScript React |         10 |          0 |          2 |         12 |
| d:\iTechArtFinalProject\src\app\components\auth\signUpSection\signUp.scss                           | SCSS             |          3 |          0 |          0 |          3 |
| d:\iTechArtFinalProject\src\app\components\headerAndFooter\footer\footer.jsx                        | JavaScript React |         33 |          0 |          3 |         36 |
| d:\iTechArtFinalProject\src\app\components\headerAndFooter\footer\footer.scss                       | SCSS             |         35 |          0 |          1 |         36 |
| d:\iTechArtFinalProject\src\app\components\headerAndFooter\header\header.jsx                        | JavaScript React |         40 |          0 |          2 |         42 |
| d:\iTechArtFinalProject\src\app\components\headerAndFooter\header\header.scss                       | SCSS             |         59 |          0 |          9 |         68 |
| d:\iTechArtFinalProject\src\app\components\lists\recepiesList.jsx                                   | JavaScript React |         13 |          0 |          2 |         15 |
| d:\iTechArtFinalProject\src\app\components\mainPage\banner\banner.jsx                               | JavaScript React |         18 |          0 |          2 |         20 |
| d:\iTechArtFinalProject\src\app\components\mainPage\banner\banner.scss                              | SCSS             |         32 |          0 |          3 |         35 |
| d:\iTechArtFinalProject\src\app\components\mainPage\cookBook\cookBook.jsx                           | JavaScript React |         18 |          0 |          2 |         20 |
